                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4832,                 4.9018,                  2.168,                0.00145,                0.04167,                0.00115,                0.00021,                 3.1505,                 5.0713,                 2.2847,               6.25e-06,               6.25e-06,               6.25e-06
                      2,                 3.3582,                 4.9246,                 2.1827,                 0.0019,                0.05208,                0.00184,                0.00041,                 2.9913,                 5.0564,                 2.1847,             1.8564e-05,             1.8564e-05,             1.8564e-05
                      3,                 3.3483,                 4.8673,                 2.0846,                0.00265,                 0.0625,                0.01417,                0.00353,                 2.7417,                 4.9988,                 2.0254,             3.0631e-05,             3.0631e-05,             3.0631e-05
                      4,                 2.8645,                 4.8124,                 1.8461,                 0.0025,                 0.0625,                0.04046,                0.01911,                 2.5746,                 4.9244,                 1.8435,             4.2451e-05,             4.2451e-05,             4.2451e-05
                      5,                 2.3442,                 4.5762,                  1.557,                0.00304,                0.08333,                 0.0806,                0.03809,                 2.3753,                 4.8586,                 1.6878,             5.4022e-05,             5.4022e-05,             5.4022e-05
                      6,                  2.082,                 4.5652,                 1.3696,                 0.0024,                0.08333,                0.08292,                0.03583,                 2.3567,                 4.7821,                 1.5906,             6.5347e-05,             6.5347e-05,             6.5347e-05
                      7,                 1.9048,                  4.441,                 1.3208,                0.00196,                0.08333,                0.07571,                 0.0238,                 2.2456,                 4.6875,                 1.4878,             7.6424e-05,             7.6424e-05,             7.6424e-05
                      8,                 1.8449,                  4.305,                 1.2356,                 0.0018,                0.08333,                0.08292,                0.02682,                 2.0709,                 4.6088,                 1.3916,             8.7253e-05,             8.7253e-05,             8.7253e-05
                      9,                 1.8448,                 4.1438,                 1.2259,                0.00279,                0.10417,                0.08383,                0.03502,                 1.9668,                 4.5645,                 1.3306,             9.7835e-05,             9.7835e-05,             9.7835e-05
                     10,                 1.7567,                 4.0159,                 1.1911,                0.00326,                0.11458,                0.08442,                 0.0354,                 1.8743,                 4.5178,                 1.2542,             0.00010817,             0.00010817,             0.00010817
                     11,                 1.7113,                 3.9632,                 1.1527,                0.00284,                0.11458,                0.08602,                0.04216,                 1.7963,                 4.4328,                 1.1993,             0.00011826,             0.00011826,             0.00011826
                     12,                 1.7051,                 3.8567,                 1.1199,                      1,                0.08071,                0.08428,                0.04268,                 1.7281,                 4.3759,                  1.146,              0.0001281,              0.0001281,              0.0001281
                     13,                 1.7073,                 3.8055,                 1.0906,                      1,                0.05973,                0.08533,                0.03713,                 1.7461,                 4.3336,                 1.1265,             0.00013769,             0.00013769,             0.00013769
                     14,                 1.6005,                 3.6485,                  1.146,                      1,                0.06128,                0.08616,                0.03469,                 1.7644,                 4.2835,                 1.1057,             0.00014703,             0.00014703,             0.00014703
                     15,                 1.5871,                 3.5791,                 1.1011,                      1,                0.04955,                0.10636,                 0.0497,                 1.7877,                 4.2494,                 1.0892,             0.00015613,             0.00015613,             0.00015613
                     16,                 1.5622,                 3.4461,                 1.1255,                 0.9825,                0.07867,                0.14534,                0.07028,                 1.7931,                 4.2115,                 1.0907,             0.00016498,             0.00016498,             0.00016498
                     17,                 1.5996,                 3.3817,                 1.1088,                0.00785,                0.22917,                 0.1718,                0.09557,                 1.6984,                 4.1927,                 1.0847,             0.00017358,             0.00017358,             0.00017358
                     18,                 1.5274,                 3.2575,                 1.0756,                 0.0093,                0.26042,                0.17739,                0.10773,                 1.5378,                 4.1678,                 1.0679,             0.00018193,             0.00018193,             0.00018193
                     19,                 1.5867,                 3.1093,                 1.0563,                 0.0118,                0.36458,                0.20603,                0.12647,                 1.4834,                 4.1244,                  1.062,             0.00019004,             0.00019004,             0.00019004
                     20,                  1.548,                 3.0897,                 1.0627,                0.01549,                 0.4375,                0.22862,                0.13392,                 1.4783,                 4.0549,                 1.0418,              0.0001979,              0.0001979,              0.0001979
                     21,                 1.5108,                 3.0143,                 1.0567,                0.02312,                0.52083,                0.27143,                0.15123,                 1.5707,                 3.9533,                 1.0548,             0.00020551,             0.00020551,             0.00020551
                     22,                 1.4934,                 2.8148,                 1.0543,                0.02764,                0.54167,                 0.2826,                0.15314,                 1.6567,                 3.8507,                 1.0763,             0.00021288,             0.00021288,             0.00021288
                     23,                 1.4471,                 2.7042,                 1.0621,                0.04072,                  0.625,                0.33018,                0.17949,                 1.6255,                 3.7195,                 1.0701,             0.00021999,             0.00021999,             0.00021999
                     24,                 1.5235,                 2.7121,                 1.1002,                0.04476,                0.70833,                0.40557,                0.23092,                 1.5088,                 3.5901,                 1.0396,             0.00022686,             0.00022686,             0.00022686
                     25,                 1.3641,                 2.5231,                 1.0094,                0.04724,                0.77083,                0.44614,                0.26154,                 1.4496,                 3.4815,                 1.0077,             0.00023349,             0.00023349,             0.00023349
                     26,                 1.4889,                 2.5222,                 1.0776,                0.05104,                0.80208,                0.47816,                0.29911,                 1.3188,                 3.3627,                0.98158,             0.00023986,             0.00023986,             0.00023986
                     27,                 1.4065,                 2.3668,                 1.0081,                 0.0586,                0.89583,                0.51405,                0.32282,                 1.3073,                 3.2473,                0.97641,             0.00024599,             0.00024599,             0.00024599
                     28,                 1.3912,                 2.2414,                 1.0176,                 0.0586,                0.89583,                0.51405,                0.32282,                 1.3073,                 3.2473,                0.97641,             0.00025187,             0.00025187,             0.00025187
                     29,                  1.481,                 2.2529,                 1.0274,                0.25995,                0.80448,                0.55202,                0.33867,                 1.2946,                 3.1265,                0.97154,              0.0002575,              0.0002575,              0.0002575
